Sick_Lv1_Code,Sick_Lv1_Reason,Sick_Lv1_Description,Sick_Lv2_Code,Sick_Lv2_Reason,Sick_Lv2_Description,reason_short
S10,S10 Anxiety/stress/depression/other psychiatric illnesses,Anxiety/stress/depression/other psychiatric illnesses,(blank,(blank),,anxiety_stress
S10,S10 Anxiety/stress/depression/other psychiatric illnesses,Anxiety/stress/depression/other psychiatric illnesses,S10001,S10001 Anxiety,Anxiety,anxiety_stress
S10,S10 Anxiety/stress/depression/other psychiatric illnesses,Anxiety/stress/depression/other psychiatric illnesses,S10002,S10002 Behavioural disorder,Behavioural disorder,anxiety_stress
S10,S10 Anxiety/stress/depression/other psychiatric illnesses,Anxiety/stress/depression/other psychiatric illnesses,S10003,S10003 Bipolar disorder,Bipolar disorder,anxiety_stress
S10,S10 Anxiety/stress/depression/other psychiatric illnesses,Anxiety/stress/depression/other psychiatric illnesses,S10004,S10004 Delusion disorder,Delusion disorder,anxiety_stress
S10,S10 Anxiety/stress/depression/other psychiatric illnesses,Anxiety/stress/depression/other psychiatric illnesses,S10005,S10005 Depression,Depression,anxiety_stress
S10,S10 Anxiety/stress/depression/other psychiatric illnesses,Anxiety/stress/depression/other psychiatric illnesses,S10006,S10006 Eating disorder,Eating disorder,anxiety_stress
S10,S10 Anxiety/stress/depression/other psychiatric illnesses,Anxiety/stress/depression/other psychiatric illnesses,S10007,S10007 Insomnia,Insomnia,anxiety_stress
S10,S10 Anxiety/stress/depression/other psychiatric illnesses,Anxiety/stress/depression/other psychiatric illnesses,S10008,S10008 Manic disorder,Manic disorder,anxiety_stress
S10,S10 Anxiety/stress/depression/other psychiatric illnesses,Anxiety/stress/depression/other psychiatric illnesses,S10009,S10009 Obsessive compulsive disorder,Obsessive compulsive disorder,anxiety_stress
S10,S10 Anxiety/stress/depression/other psychiatric illnesses,Anxiety/stress/depression/other psychiatric illnesses,S10010,S10010 Panic attacks,Panic attacks,anxiety_stress
S10,S10 Anxiety/stress/depression/other psychiatric illnesses,Anxiety/stress/depression/other psychiatric illnesses,S10011,S10011 Personality disorder,Personality disorder,anxiety_stress
S10,S10 Anxiety/stress/depression/other psychiatric illnesses,Anxiety/stress/depression/other psychiatric illnesses,S10012,S10012 Phobic disorders,Phobic disorders,anxiety_stress
S10,S10 Anxiety/stress/depression/other psychiatric illnesses,Anxiety/stress/depression/other psychiatric illnesses,S10013,S10013 Psychosis,Psychosis,anxiety_stress
S10,S10 Anxiety/stress/depression/other psychiatric illnesses,Anxiety/stress/depression/other psychiatric illnesses,S10014,S10014 Schizoaffective disorder,Schizoaffective disorder,anxiety_stress
S10,S10 Anxiety/stress/depression/other psychiatric illnesses,Anxiety/stress/depression/other psychiatric illnesses,S10015,S10015 Schizophrenia,Schizophrenia,anxiety_stress
S10,S10 Anxiety/stress/depression/other psychiatric illnesses,Anxiety/stress/depression/other psychiatric illnesses,S10016,S10016 Self harm,Self harm,anxiety_stress
S10,S10 Anxiety/stress/depression/other psychiatric illnesses,Anxiety/stress/depression/other psychiatric illnesses,S10017,S10017 Stress,Stress,anxiety_stress
S10,S10 Anxiety/stress/depression/other psychiatric illnesses,Anxiety/stress/depression/other psychiatric illnesses,S10998,S10998 Other psychiatric illnesses,Other psychiatric illnesses,anxiety_stress
S10,S10 Anxiety/stress/depression/other psychiatric illnesses,Anxiety/stress/depression/other psychiatric illnesses,S10999,S10999 Not specified,Not specified,anxiety_stress
S11,S11 Back Problems,Back Problems,(blank,(blank),,back_problems
S11,S11 Back Problems,Back Problems,S11001,S11001 Back ache/pain,Back ache/pain,back_problems
S11,S11 Back Problems,Back Problems,S11002,S11002 Disc problems,Disc problems,back_problems
S11,S11 Back Problems,Back Problems,S11003,S11003 Lumbago,Lumbago,back_problems
S11,S11 Back Problems,Back Problems,S11004,S11004 Sciatica,Sciatica,back_problems
S11,S11 Back Problems,Back Problems,S11005,S11005 Scoliosis,Scoliosis,back_problems
S11,S11 Back Problems,Back Problems,S11006,S11006 Spinal stenosis,Spinal stenosis,back_problems
S11,S11 Back Problems,Back Problems,S11007,S11007 Spondylitis,Spondylitis,back_problems
S11,S11 Back Problems,Back Problems,S11008,S11008 Spondylosis,Spondylosis,back_problems
S11,S11 Back Problems,Back Problems,S11998,S11998 Other back problems,Other back problems,back_problems
S11,S11 Back Problems,Back Problems,S11999,S11999 Not specified,Not specified,back_problems
S11,S11 Back Problems,Back Problems,S28024,S28024 Injury to knee or lower leg,Injury to knee or lower leg,back_problems
S12,S12 Other musculoskeletal problems,Other musculoskeletal problems,S12001,S12001 Arthritis,Arthritis,other_msk
S12,S12 Other musculoskeletal problems,Other musculoskeletal problems,S12002,S12002 Carpal tunnel syndrome,Carpal tunnel syndrome,other_msk
S12,S12 Other musculoskeletal problems,Other musculoskeletal problems,S12003,S12003 Cartlilage disorder,Cartlilage disorder,other_msk
S12,S12 Other musculoskeletal problems,Other musculoskeletal problems,S12004,S12004 Frozen shoulder,Frozen shoulder,other_msk
S12,S12 Other musculoskeletal problems,Other musculoskeletal problems,S12005,S12005 Ganglion,Ganglion,other_msk
S12,S12 Other musculoskeletal problems,Other musculoskeletal problems,S12006,S12006 Hand arm vibration syndrome (HAVS),Hand arm vibration syndrome (HAVS),other_msk
S12,S12 Other musculoskeletal problems,Other musculoskeletal problems,S12007,S12007 Ligament disorder,Ligament disorder,other_msk
S12,S12 Other musculoskeletal problems,Other musculoskeletal problems,S12008,S12008 Neck ache/pain,Neck ache/pain,other_msk
S12,S12 Other musculoskeletal problems,Other musculoskeletal problems,S12009,S12009 Osteoarthritis,Osteoarthritis,other_msk
S12,S12 Other musculoskeletal problems,Other musculoskeletal problems,S12010,S12010 Osteoporosis,Osteoporosis,other_msk
S12,S12 Other musculoskeletal problems,Other musculoskeletal problems,S12011,S12011 Pinched/trapped nerve,Pinched/trapped nerve,other_msk
S12,S12 Other musculoskeletal problems,Other musculoskeletal problems,S12012,S12012 Pulled muscle,Pulled muscle,other_msk
S12,S12 Other musculoskeletal problems,Other musculoskeletal problems,S12013,S12013 Repetitive strain injury (RSI),Repetitive strain injury (RSI),other_msk
S12,S12 Other musculoskeletal problems,Other musculoskeletal problems,S12014,S12014 Rheumatism,Rheumatism,other_msk
S12,S12 Other musculoskeletal problems,Other musculoskeletal problems,S12015,S12015 Rheumatoid arthritis,Rheumatoid arthritis,other_msk
S12,S12 Other musculoskeletal problems,Other musculoskeletal problems,S12016,S12016 Shoulder ache/pain,Shoulder ache/pain,other_msk
S12,S12 Other musculoskeletal problems,Other musculoskeletal problems,S12017,S12017 Tendon problem,Tendon problem,other_msk
S12,S12 Other musculoskeletal problems,Other musculoskeletal problems,S12018,S12018 Tennis elbow,Tennis elbow,other_msk
S12,S12 Other musculoskeletal problems,Other musculoskeletal problems,S12019,S12019 Vibration white finger,Vibration white finger,other_msk
S12,S12 Other musculoskeletal problems,Other musculoskeletal problems,S12020,S12020 Whole body vibration,Whole body vibration,other_msk
S12,S12 Other musculoskeletal problems,Other musculoskeletal problems,S12998,S12998 Other musculoskeletal problems,Other musculoskeletal problems,other_msk
S12,S12 Other musculoskeletal problems,Other musculoskeletal problems,S12999,S12999 Not specified,Not specified,other_msk
S13,"S13 Cold, Cough, Flu - Influenza","Cold, Cough, Flu - Influenza",(blank,(blank),,cold_influenza
S13,"S13 Cold, Cough, Flu - Influenza","Cold, Cough, Flu - Influenza",S13001,S13001 Cold,Cold,cold_influenza
S13,"S13 Cold, Cough, Flu - Influenza","Cold, Cough, Flu - Influenza",S13002,S13002 Cough,Cough,cold_influenza
S13,"S13 Cold, Cough, Flu - Influenza","Cold, Cough, Flu - Influenza",S13003,S13003 Flu Influenza,Flu Influenza,cold_influenza
S13,"S13 Cold, Cough, Flu - Influenza","Cold, Cough, Flu - Influenza",S13998,S13998 Other cough cold flu,Other cough cold flu,cold_influenza
S13,"S13 Cold, Cough, Flu - Influenza","Cold, Cough, Flu - Influenza",S13999,S13999 Not specified,Not specified,cold_influenza
S14,S14 Asthma,Asthma,(blank,(blank),,asthma
S14,S14 Asthma,Asthma,S14001,S14001 Non-allergic (intrinsic) asthma,Non-allergic (intrinsic) asthma,asthma
S14,S14 Asthma,Asthma,S14002,S14002 Allergic (extrinsic) asthma,Allergic (extrinsic) asthma,asthma
S14,S14 Asthma,Asthma,S14004,S14004 Seasonal asthma,Seasonal asthma,asthma
S14,S14 Asthma,Asthma,S14006,S14006 Combination of two or more of the above types of asthma,Combination of two or more of the above types of asthma,asthma
S14,S14 Asthma,Asthma,S14998,S14998 Other asthma,Other asthma,asthma
S14,S14 Asthma,Asthma,S14999,S14999 Not specified,Not specified,asthma
S15,S15 Chest & respiratory problems,Chest & respiratory problems,(blank,(blank),,respiratory
S15,S15 Chest & respiratory problems,Chest & respiratory problems,S15001,S15001 Breathing problems,Breathing problems,respiratory
S15,S15 Chest & respiratory problems,Chest & respiratory problems,S15002,S15002 Bronchitis,Bronchitis,respiratory
S15,S15 Chest & respiratory problems,Chest & respiratory problems,S15003,S15003 Chronic bronchitis,Chronic bronchitis,respiratory
S15,S15 Chest & respiratory problems,Chest & respiratory problems,S15004,S15004 Chronic obstructive airways disease (COAD),Chronic obstructive airways disease (COAD),respiratory
S15,S15 Chest & respiratory problems,Chest & respiratory problems,S15005,S15005 Chronic obstructive pulmonary disease (COPD),Chronic obstructive pulmonary disease (COPD),respiratory
S15,S15 Chest & respiratory problems,Chest & respiratory problems,S15006,S15006 Emphysema,Emphysema,respiratory
S15,S15 Chest & respiratory problems,Chest & respiratory problems,S15007,S15007 Lower respiratory tract infection,Lower respiratory tract infection,respiratory
S15,S15 Chest & respiratory problems,Chest & respiratory problems,S15008,S15008 Pleurisy,Pleurisy,respiratory
S15,S15 Chest & respiratory problems,Chest & respiratory problems,S15009,S15009 Pneumoconiosis,Pneumoconiosis,respiratory
S15,S15 Chest & respiratory problems,Chest & respiratory problems,S15010,S15010 Pneumonia,Pneumonia,respiratory
S15,S15 Chest & respiratory problems,Chest & respiratory problems,S15011,S15011 Tracheitis,Tracheitis,respiratory
S15,S15 Chest & respiratory problems,Chest & respiratory problems,S15012,S15012 Upper respiratory tract infection,Upper respiratory tract infection,respiratory
S15,S15 Chest & respiratory problems,Chest & respiratory problems,S15998,S15998 Other chest and respiratory problems,Other chest and respiratory problems,respiratory
S15,S15 Chest & respiratory problems,Chest & respiratory problems,S15999,S15999 Not specified,Not specified,respiratory
S16,S16 Headache / migraine,Headache / migraine,(blank,(blank),,headache_mig
S16,S16 Headache / migraine,Headache / migraine,S16001,S16001 Headache,Headache,headache_mig
S16,S16 Headache / migraine,Headache / migraine,S16002,S16002 Migraine,Migraine,headache_mig
S16,S16 Headache / migraine,Headache / migraine,S16999,S16999 Not specified,Not specified,headache_mig
S17,"S17 Benign and malignant tumours, cancers","Benign and malignant tumours, cancers",(blank,(blank),,cancer_related
S17,"S17 Benign and malignant tumours, cancers","Benign and malignant tumours, cancers",S17001,S17001 Benign tumour,Benign tumour,cancer_related
S17,"S17 Benign and malignant tumours, cancers","Benign and malignant tumours, cancers",S17002,S17002 Bladder cancer,Bladder cancer,cancer_related
S17,"S17 Benign and malignant tumours, cancers","Benign and malignant tumours, cancers",S17003,S17003 Bowel cancer,Bowel cancer,cancer_related
S17,"S17 Benign and malignant tumours, cancers","Benign and malignant tumours, cancers",S17004,S17004 Brain cancer,Brain cancer,cancer_related
S17,"S17 Benign and malignant tumours, cancers","Benign and malignant tumours, cancers",S17005,S17005 Breast cancer,Breast cancer,cancer_related
S17,"S17 Benign and malignant tumours, cancers","Benign and malignant tumours, cancers",S17006,S17006 Cervical cancer,Cervical cancer,cancer_related
S17,"S17 Benign and malignant tumours, cancers","Benign and malignant tumours, cancers",S17007,S17007 Colon cancer,Colon cancer,cancer_related
