Region,Suffix,Type
East Midlands,ycnf/lms,%
East of England,ycnh/lms,%
London,ycni/lms,%
North East,ycnc/lms,%
North West,ycnd/lms,%
South East,ycnj/lms,%
South West,ycnk/lms,%
West Midlands,ycng/lms,%
York & the Humber,ycne/lms,%
East Midlands,ycms/lms,thousands
East of England,ycmu/lms,thousands
London,ycmv/lms,thousands
North East,ycmp/lms,thousands
North West,ycmq/lms,thousands
South East,ycmw/lms,thousands
South West,ycmx/lms,thousands
West Midlands,ycmt/lms,thousands
York & the Humber,ycmr/lms,thousands
